term,metric,128
all,brier_score,0.386130846
all,cross_entropy,1.039156083
all,ece,0.030529458
all,kl_divergence,1.014883595
all,expected_correctness,0.606856746
black,brier_score,0.071953244
black,cross_entropy,0.212324683
black,ece,0.013385342
black,kl_divergence,0.201896076
black,expected_correctness,0.918728862
gay,brier_score,0.322237603
gay,cross_entropy,0.924138129
gay,ece,0.082962767
gay,kl_divergence,0.895256996
gay,expected_correctness,0.63991755
indian,brier_score,0.507523045
indian,cross_entropy,1.001437097
indian,ece,0.045521964
indian,kl_divergence,0.977569562
indian,expected_correctness,0.477604585
orient,brier_score,0.786568651
orient,cross_entropy,1.930203846
orient,ece,0.042035154
orient,kl_divergence,1.876226871
orient,expected_correctness,0.181795462
queer,brier_score,0.512021347
queer,cross_entropy,1.062559695
queer,ece,0.11987092
queer,kl_divergence,1.018753957
queer,expected_correctness,0.462224163
