term,metric,untruncated
all,brier_score,0.131495263
all,cross_entropy,0.229457726
all,ece,0.012206538
all,kl_divergence,0.221636468
all,expected_correctness,0.865090642
black,brier_score,0.025642476
black,cross_entropy,0.0607454
black,ece,0.006468059
black,kl_divergence,0.059248322
black,expected_correctness,0.972621806
gay,brier_score,0.078437075
gay,cross_entropy,0.170547982
gay,ece,0.01011523
gay,kl_divergence,0.164543131
gay,expected_correctness,0.917359911
indian,brier_score,0.120023818
indian,cross_entropy,0.235311752
indian,ece,0.022141366
indian,kl_divergence,0.2273139
indian,expected_correctness,0.873727349
orient,brier_score,0.406124504
orient,cross_entropy,0.610017054
orient,ece,0.047451411
orient,kl_divergence,0.588219973
orient,expected_correctness,0.578359857
queer,brier_score,0.135547618
queer,cross_entropy,0.250519968
queer,ece,0.045093611
queer,kl_divergence,0.228722241
queer,expected_correctness,0.855832947
