term,metric,128
all,brier_score,0.155467615
all,cross_entropy,0.36429143
all,ece,0.04085194
all,kl_divergence,0.353333861
all,expected_correctness,0.863297641
black,brier_score,0.036970884
black,cross_entropy,0.170385793
black,ece,0.019741576
black,kl_divergence,0.168831065
black,expected_correctness,0.980516374
gay,brier_score,0.079521812
gay,cross_entropy,0.199565753
gay,ece,0.020537558
gay,kl_divergence,0.189102188
gay,expected_correctness,0.930708587
indian,brier_score,0.121005096
indian,cross_entropy,0.409802109
indian,ece,0.061872154
indian,kl_divergence,0.398842603
indian,expected_correctness,0.913908005
orient,brier_score,0.529142857
orient,cross_entropy,0.96790427
orient,ece,0.135150143
orient,kl_divergence,0.93245703
orient,expected_correctness,0.476008326
queer,brier_score,0.151743844
queer,cross_entropy,0.344395459
queer,ece,0.047716101
queer,kl_divergence,0.324165225
queer,expected_correctness,0.868645608
