term,metric,untruncated
all,brier_score,0.022384366
all,cross_entropy,0.06458059
all,ece,0.010990919
all,kl_divergence,0.06329447
all,expected_correctness,0.985997915
black,brier_score,0.006426265
black,cross_entropy,0.028321378
black,ece,0.004196791
black,kl_divergence,0.026903573
black,expected_correctness,0.99603498
gay,brier_score,0.017852448
gay,cross_entropy,0.077871159
gay,ece,0.008719419
gay,kl_divergence,0.077870972
gay,expected_correctness,0.99086529
indian,brier_score,0.014156652
indian,cross_entropy,0.038594168
indian,ece,0.009876622
indian,kl_divergence,0.035928041
indian,expected_correctness,0.990504801
orient,brier_score,0.089759357
orient,cross_entropy,0.244768754
orient,ece,0.037089431
orient,kl_divergence,0.244768575
orient,expected_correctness,0.944822252
queer,brier_score,0.033196073
queer,cross_entropy,0.103354596
queer,ece,0.014774815
queer,kl_divergence,0.103354432
queer,expected_correctness,0.981517017
