term,metric,detailed
all,brier_score,0.175676614
all,cross_entropy,1.533118367
all,ece,0.366075635
all,kl_divergence,0.896604121
all,expected_correctness,0.496734709
black,brier_score,0.225209892
black,cross_entropy,4.949268341
black,ece,0.438436031
black,kl_divergence,4.312754095
black,expected_correctness,0.520793021
gay,brier_score,0.209515214
gay,cross_entropy,7.099457741
gay,ece,0.426756799
gay,kl_divergence,6.462943494
gay,expected_correctness,0.549834907
indian,brier_score,0.243640661
indian,cross_entropy,6.760110378
indian,ece,0.459717393
indian,kl_divergence,6.123596191
indian,expected_correctness,0.509385884
orient,brier_score,0.230182782
orient,cross_entropy,3.779045343
orient,ece,0.443896025
orient,kl_divergence,3.142531097
orient,expected_correctness,0.510284424
queer,brier_score,0.291116416
queer,cross_entropy,9.590306282
queer,ece,0.507554889
queer,kl_divergence,8.953792095
queer,expected_correctness,0.468773931
