term,metric,detailed
all,brier_score,0.046931615
all,cross_entropy,0.140704506
all,ece,0.017319785
all,kl_divergence,0.140704506
all,expected_correctness,0.959136608
black,brier_score,0.020439924
black,cross_entropy,0.056278463
black,ece,0.00803643
black,kl_divergence,0.056278463
black,expected_correctness,0.974068507
gay,brier_score,0.037732071
gay,cross_entropy,0.186830667
gay,ece,0.018792877
gay,kl_divergence,0.186830667
gay,expected_correctness,0.981058925
indian,brier_score,0.031964996
indian,cross_entropy,0.08588122
indian,ece,0.007106961
indian,kl_divergence,0.08588122
indian,expected_correctness,0.973391054
orient,brier_score,0.136557971
orient,cross_entropy,0.274515528
orient,ece,0.007953827
orient,kl_divergence,0.274515528
orient,expected_correctness,0.872427165
queer,brier_score,0.070237666
queer,cross_entropy,0.171523306
queer,ece,0.018260679
queer,kl_divergence,0.171523306
queer,expected_correctness,0.947779917
