term,metric,focused
all,brier_score,0.042228789
all,cross_entropy,0.119612389
all,ece,0.047331216
all,kl_divergence,0.119612389
all,expected_correctness,0.916785703
black,brier_score,0.156336557
black,cross_entropy,0.324571005
black,ece,0.258822935
black,kl_divergence,0.324571005
black,expected_correctness,0.727102783
gay,brier_score,0.037735838
gay,cross_entropy,0.293369909
gay,ece,0.018866856
gay,kl_divergence,0.293369909
gay,expected_correctness,0.981131013
indian,brier_score,0.043595908
indian,cross_entropy,0.134443852
indian,ece,0.078397557
indian,kl_divergence,0.134443852
indian,expected_correctness,0.892803166
orient,brier_score,0.209585995
orient,cross_entropy,0.379617976
orient,ece,0.194214365
orient,kl_divergence,0.379617976
orient,expected_correctness,0.702518042
queer,brier_score,0.074715586
queer,cross_entropy,0.164390783
queer,ece,0.023328392
queer,kl_divergence,0.164390783
queer,expected_correctness,0.909092274
