term,metric,detailed
all,brier_score,
all,cross_entropy,
all,ece,
all,kl_divergence,
all,expected_correctness,
black,brier_score,1.00010932
black,cross_entropy,10.10864408
black,ece,0.004927381
black,kl_divergence,10.10864408
black,expected_correctness,4.50861E-05
gay,brier_score,1.000158588
gay,cross_entropy,9.603392827
gay,ece,0.002931663
gay,kl_divergence,9.603392827
gay,expected_correctness,8.9243E-05
indian,brier_score,1.000020397
indian,cross_entropy,9.201570565
indian,ece,0.001212798
indian,kl_divergence,9.201570565
indian,expected_correctness,0.000106732
orient,brier_score,0.999095665
orient,cross_entropy,7.945032263
orient,ece,0.01726704
orient,kl_divergence,7.945032263
orient,expected_correctness,0.000581226
queer,brier_score,1.109819874
queer,cross_entropy,7.932593511
queer,ece,0.272132445
queer,kl_divergence,7.932593511
queer,expected_correctness,0.000482509
