term,metric,focused
all,brier_score,
all,cross_entropy,
all,ece,
all,kl_divergence,
all,expected_correctness,
black,brier_score,0.215353355
black,cross_entropy,1.31874907
black,ece,0.425819814
black,kl_divergence,0.682234824
black,expected_correctness,0.416718692
gay,brier_score,0.106500439
gay,cross_entropy,1.132759809
gay,ece,0.282255501
gay,kl_divergence,0.496245563
gay,expected_correctness,0.554000616
indian,brier_score,0.039976861
indian,cross_entropy,0.767354012
indian,ece,0.16699256
indian,kl_divergence,0.130839825
indian,expected_correctness,0.572981596
orient,brier_score,0.134459525
orient,cross_entropy,1.0083009
orient,ece,0.303306073
orient,kl_divergence,0.371786654
orient,expected_correctness,0.464758545
queer,brier_score,0.176986828
queer,cross_entropy,1.437696457
queer,ece,0.364975065
queer,kl_divergence,0.80118227
queer,expected_correctness,0.487220585
