term,metric,focused
all,brier_score,1.608232123
all,cross_entropy,26.76003932
all,ece,0.779850205
all,kl_divergence,26.73166491
all,expected_correctness,0.10716155
black,brier_score,0.938168183
black,cross_entropy,13.51866511
black,ece,0.454995241
black,kl_divergence,13.51581265
black,expected_correctness,0.496970117
gay,brier_score,1.550973289
gay,cross_entropy,25.92989948
gay,ece,0.772173991
gay,kl_divergence,25.87048693
gay,expected_correctness,0.132473664
indian,brier_score,1.433437607
indian,cross_entropy,20.32375022
indian,ece,0.69273386
indian,kl_divergence,20.29766406
indian,expected_correctness,0.221678854
orient,brier_score,1.650377113
orient,cross_entropy,25.62973466
orient,ece,0.778394668
orient,kl_divergence,25.58549126
orient,expected_correctness,0.05442247
queer,brier_score,1.544779039
queer,cross_entropy,22.46570792
queer,ece,0.785773257
queer,kl_divergence,22.3869412
queer,expected_correctness,0.162330362
