term,metric,detailed
all,brier_score,0.492492938
all,cross_entropy,1.336071526
all,ece,0.055683379
all,kl_divergence,1.281554332
all,expected_correctness,0.515751756
black,brier_score,0.21707187
black,cross_entropy,0.688135469
black,ece,0.062274251
black,kl_divergence,0.682453935
black,expected_correctness,0.821745074
gay,brier_score,0.45521815
gay,cross_entropy,1.412537226
gay,ece,0.068345372
gay,kl_divergence,1.303092933
gay,expected_correctness,0.515216509
indian,brier_score,0.628379309
indian,cross_entropy,1.340389871
indian,ece,0.150513592
indian,kl_divergence,1.290109764
indian,expected_correctness,0.414811219
orient,brier_score,0.763834633
orient,cross_entropy,1.993531032
orient,ece,0.021795479
orient,kl_divergence,1.910353371
orient,expected_correctness,0.18719333
queer,brier_score,0.591975075
queer,cross_entropy,1.932438042
queer,ece,0.148014726
queer,kl_divergence,1.790979434
queer,expected_correctness,0.385079948
