term,metric,focused
all,brier_score,0.534696518
all,cross_entropy,1.483098144
all,ece,0.084880496
all,kl_divergence,1.428580952
all,expected_correctness,0.495085192
black,brier_score,0.240543502
black,cross_entropy,0.794230747
black,ece,0.084713053
black,kl_divergence,0.788549213
black,expected_correctness,0.826905779
gay,brier_score,0.474426266
gay,cross_entropy,1.492869757
gay,ece,0.084797706
gay,kl_divergence,1.383425465
gay,expected_correctness,0.509332302
indian,brier_score,0.60504353
indian,cross_entropy,1.345493377
indian,ece,0.131414851
indian,kl_divergence,1.295213266
indian,expected_correctness,0.41244178
orient,brier_score,0.760835848
orient,cross_entropy,2.006944572
orient,ece,0.028614262
orient,kl_divergence,1.92376691
orient,expected_correctness,0.195175795
queer,brier_score,0.662520628
queer,cross_entropy,1.761895487
queer,ece,0.153184838
queer,kl_divergence,1.620436881
queer,expected_correctness,0.368132868
